conn_hash	stmt_id	exec_id	exec_time	sql_type	exe_status	db_ip	client_ip	client_host	app_name	db_user	sql_hash	from_tbs	select_cols	sql_stmt	stmt_bind_vars
conn_17040505487926687103	665	9	2024-11-16 12:08:55	INSERT	FAILURE	192.168.126.127	10.0.227.36	host_55	app_3	user_6	hash_6516300892690913526	tbs_1	N/A	INSERT INTO table_3 (id, name, age, salary) VALUES (64, 'John Doe', 23, 9373)	bind_vars_example
conn_12275873497614863711	580	2	2024-11-16 12:08:55	SELECT	FAILURE	192.168.206.165	10.0.254.47	host_34	app_1	user_5	hash_15095316763884665602	tbs_3	department, id, id, age	SELECT age, age FROM table_4 WHERE department = 'HR' AND salary < 7850	bind_vars_example
conn_16998386442361372659	916	5	2024-11-16 12:08:55	SELECT	FAILURE	192.168.13.72	10.0.212.230	host_1	app_1	user_7	hash_16787236203644063951	tbs_1	salary, age, department, department	SELECT department, age, department FROM table_2 WHERE department = 'HR'	bind_vars_example
conn_17670885625769850439	870	10	2024-11-16 12:08:55	UPDATE	SUCCESS	192.168.110.43	10.0.38.194	host_81	app_2	user_1	hash_17355914613806163019	tbs_4	N/A	UPDATE table_1 SET salary = 8019 WHERE salary < 5776 AND department = 'Sales' AND salary < 5776	bind_vars_example
conn_3945452186463028969	468	10	2024-11-16 12:08:55	UPDATE	SUCCESS	192.168.138.176	10.0.72.214	host_95	app_4	user_2	hash_17485019348313437642	tbs_4	N/A	UPDATE table_1 SET salary = 7307 WHERE salary < 3013 AND age > 31	bind_vars_example
conn_8545145235973915394	366	5	2024-11-16 12:08:55	SELECT	SUCCESS	192.168.102.226	10.0.59.98	host_44	app_1	user_2	hash_9033422034146155079	tbs_1	salary, name, salary	SELECT id, id FROM table_4 WHERE salary < 3375 AND name LIKE 'C%'	bind_vars_example
conn_5178054345459969068	966	1	2024-11-16 12:08:55	INSERT	SUCCESS	192.168.137.27	10.0.204.248	host_39	app_4	user_6	hash_12291195731255619211	tbs_3	N/A	INSERT INTO table_4 (id, name, age, salary) VALUES (65, 'John Doe', 36, 4397)	bind_vars_example
conn_2567196225250632751	498	3	2024-11-16 12:08:55	SELECT	FAILURE	192.168.21.156	10.0.170.118	host_29	app_2	user_4	hash_5554528853295274068	tbs_1	name, age, salary, age	SELECT id, name FROM table_4 WHERE name LIKE 'B%' AND salary < 6749	bind_vars_example
conn_347980228350601930	485	5	2024-11-16 12:08:55	INSERT	FAILURE	192.168.137.215	10.0.124.16	host_72	app_1	user_4	hash_11766216230036773102	tbs_3	N/A	INSERT INTO table_4 (id, name, age, salary) VALUES (38, 'John Doe', 20, 3340)	bind_vars_example
conn_15396610391178554288	514	8	2024-11-16 12:08:55	INSERT	SUCCESS	192.168.14.164	10.0.192.86	host_58	app_2	user_9	hash_9624876693010974086	tbs_4	N/A	INSERT INTO table_1 (id, name, age, salary) VALUES (19, 'John Doe', 24, 6779)	bind_vars_example
conn_8468133934103757820	342	4	2024-11-16 12:08:55	UPDATE	FAILURE	192.168.35.110	10.0.176.144	host_50	app_3	user_4	hash_3132507350092804582	tbs_3	N/A	UPDATE table_1 SET salary = 7191 WHERE age > 41	bind_vars_example
